Year,Geo_Lvl,Geo_Cd,Geo_Desc,Plan_Type,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_5Y_Chg,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_5Y_Chg,LA_Opioid_Prscrbng_Rate_1Y_Chg
2021,National,,National,All,21654225,686625295,3.15,-2.23,-0.09,4672903,21.58,14.04,2.64
2021,National,,National,FFS,5084859,180712324,2.81,-2.48,-0.15,736567,14.49,5.34,1.05
2021,National,,National,MC,16569366,505912971,3.28,-2.14,-0.06,3936336,23.76,16.9,2.98
2021,State,01,Alabama,All,175237,7525456,2.33,-3.04,-0.38,7767,4.43,-0.36,-0.18
2021,State,01,Alabama,FFS,175237,7525456,2.33,-3.04,-0.38,7767,4.43,-0.36,-0.18
2021,State,01,Alabama,MC,0,0,,,,0,,,
2021,State,02,Alaska,All,58330,1436383,4.06,-3.84,-0.24,7076,12.13,0.54,-0.58
2021,State,02,Alaska,FFS,58330,1436383,4.06,-3.84,-0.24,7076,12.13,0.54,-0.58
2021,State,02,Alaska,MC,0,0,,,,0,,,
2021,State,04,Arizona,All,512306,14333371,3.57,-3.72,-0.1,32317,6.31,-4.52,-0.9
2021,State,04,Arizona,FFS,9468,226687,4.18,-9.91,-0.76,551,5.82,-2.06,-0.69
2021,State,04,Arizona,MC,502838,14106684,3.56,-3.68,-0.1,31766,6.32,-4.55,-0.9
2021,State,05,Arkansas,All,159449,4769182,3.34,-3.54,-0.53,4985,3.13,-2.27,-0.31
2021,State,05,Arkansas,FFS,145142,3761179,3.86,-3.02,-0.59,4596,3.17,-2.23,-0.32
2021,State,05,Arkansas,MC,14307,1008003,1.42,,-0.07,389,2.72,,-0.05
2021,State,06,California,All,2326559,82341664,2.83,-2.32,-0.15,136506,5.87,-0.5,-0.31
2021,State,06,California,FFS,546769,21472080,2.55,-2.17,-0.14,51964,9.5,2.05,-0.03
2021,State,06,California,MC,1779790,60869584,2.92,-2.39,-0.16,84542,4.75,-1.24,-0.39
2021,State,08,Colorado,All,388714,8042561,4.83,-4.26,-0.33,39276,10.1,1.24,0.34
2021,State,08,Colorado,FFS,369379,7526920,4.91,-4.13,-0.39,37704,10.21,1.27,0.39
2021,State,08,Colorado,MC,19335,515641,3.75,-6.04,0.28,1572,8.13,0.29,-0.55
2021,State,09,Connecticut,All,253042,8966934,2.82,-2.35,-0.05,22741,8.99,-0.47,-0.02
2021,State,09,Connecticut,FFS,253042,8966934,2.82,-2.35,-0.05,22741,8.99,-0.47,-0.02
2021,State,09,Connecticut,MC,0,0,,,,0,,,
2021,State,10,Delaware,All,76433,2775047,2.75,-2.62,0.05,11332,14.83,-1.3,-1.24
2021,State,10,Delaware,FFS,355,26120,1.36,-2.52,-0.61,22,6.2,-0.6,-1.09
2021,State,10,Delaware,MC,76078,2748927,2.77,-2.66,0.06,11310,14.87,-1.5,-1.29
2021,State,11,District of Columbia,All,43363,1472218,2.95,-1.42,0.43,1796,4.14,-0.82,-0.24
2021,State,11,District of Columbia,FFS,5012,270834,1.85,-2.59,-0.74,440,8.78,0.31,2.03
2021,State,11,District of Columbia,MC,38351,1201384,3.19,-1.13,0.7,1356,3.54,1.04,0.64
2021,State,12,Florida,All,679646,27523221,2.47,-2.04,-0.13,51692,7.61,0.84,-0.27
2021,State,12,Florida,FFS,19047,1234008,1.54,-0.64,0.06,1093,5.74,-0.32,-2.68
2021,State,12,Florida,MC,660599,26289213,2.51,-2.24,-0.16,50599,7.66,0.86,-0.21
2021,State,13,Georgia,All,490478,15414140,3.18,-2.63,-0.38,25844,5.27,0.06,-0.29
2021,State,13,Georgia,FFS,282918,6748163,4.19,-2.4,-0.32,22123,7.82,-0.06,-0.14
2021,State,13,Georgia,MC,207560,8665977,2.4,-2.7,-0.33,3721,1.79,-0.22,-0.26
2021,State,15,Hawaii,All,74508,2001123,3.72,-2.44,-0.01,5120,6.87,-2.98,-0.99
2021,State,15,Hawaii,FFS,805,6114,13.17,-5.19,-0.06,0,0,,
2021,State,15,Hawaii,MC,73703,1995009,3.69,-2.42,-0.03,5120,6.95,,
2021,State,16,Idaho,All,140925,3925845,3.59,-2.53,-0.33,8956,6.36,-3.09,-0.22
2021,State,16,Idaho,FFS,140925,3925845,3.59,-2.53,-0.33,8956,6.36,-3.09,-0.22
2021,State,16,Idaho,MC,0,0,,,,0,,,
2021,State,17,Illinois,All,786283,25057780,3.14,-2.44,-0.02,21608,2.75,-1.03,-0.22
2021,State,17,Illinois,FFS,21470,1282929,1.67,-3.98,-0.29,716,3.33,-0.29,0.7
2021,State,17,Illinois,MC,764813,23774851,3.22,-2.34,-0.02,20892,2.73,-1.11,-0.25
2021,State,18,Indiana,All,584783,17483180,3.34,-3.06,-0.17,27841,4.76,-1.58,-0.63
2021,State,18,Indiana,FFS,42430,2050213,2.07,-0.59,-0.08,3693,8.7,2.89,0.11
